@relation session

@attribute id numeric
@attribute session_time numeric
@attribute session_action numeric
@attribute time_per_page numeric
@attribute /shuttle/countdown/ {F,T}
@attribute /shuttle/countdown/countdown.html {F,T}
@attribute / {T,F}
@attribute /shuttle/missions/sts-71/mission-sts-71.html {F,T}
@attribute /software/winvn/winvn.html {F,T}
@attribute /shuttle/missions/sts-71/images/images.html {F,T}
@attribute /shuttle/missions/missions.html {F,T}
@attribute /htbin/cdt_main.pl {F,T}
@attribute /shuttle/countdown/liftoff.html {F,T}
@attribute /shuttle/countdown/tour.html {F,T}
@attribute /shuttle/missions/sts-71/movies/movies.html {F,T}
@attribute /history/apollo/apollo-13/apollo-13.html {F,T}
@attribute /history/history.html {F,T}
@attribute /facilities/lc39a.html {F,T}
@attribute /history/apollo/apollo.html {F,T}
@attribute /ksc.html {F,T}
@attribute /shuttle/missions/sts-67/mission-sts-67.html {F,T}
@attribute /shuttle/technology/sts-newsref/stsref-toc.html {F,T}
@attribute /shuttle/missions/sts-70/mission-sts-70.html {F,T}
@attribute /htbin/wais.pl {F,T}
@attribute /shuttle/countdown/lps/fr.html {F,T}
@attribute /history/apollo/apollo-13/apollo-13-info.html {F,T}
@attribute /history/apollo/apollo-13/ {F,T}
@attribute /shuttle/resources/orbiters/atlantis.html {F,T}
@attribute /shuttle/missions/sts-71/news/ {F,T}
@attribute /history/apollo/apollo-13/images/ {F,T}
@attribute /htbin/cdt_clock.pl {F,T}
@attribute /history/apollo/apollo-11/apollo-11.html {F,T}

@data
210,7,3,4,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
214,17,4,6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F
215,15,5,4,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F
216,260,69,4,T,T,T,T,F,T,T,T,T,F,T,T,F,T,T,T,F,F,F,T,F,T,T,T,F,T,T,F
217,11,5,3,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
219,29,8,4,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F
220,21,7,4,T,F,F,T,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
228,13,5,3,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
230,20,5,5,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
233,15,6,3,F,F,F,F,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
235,18,4,6,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
237,2,3,1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F
240,12,4,4,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
241,12,5,3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
242,81,23,4,T,F,F,F,F,T,F,T,T,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
243,39,6,8,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F
244,25,10,3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
247,8,5,2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
249,229,73,3,T,T,T,T,F,T,T,F,T,F,T,T,T,F,T,T,T,F,T,T,F,T,F,F,F,F,F,T
251,104,28,4,F,F,F,F,F,F,T,F,F,F,F,T,F,F,T,F,F,F,F,F,F,T,T,F,F,T,F,F
253,10,4,3,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
257,8,3,4,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
258,12,5,3,F,F,T,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
260,20,7,3,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
269,16,5,4,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
271,17,3,8,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
275,97,19,5,T,F,F,T,F,T,T,F,F,F,F,T,T,F,T,T,F,F,F,F,F,T,F,F,F,F,F,F
276,27,10,3,T,F,F,T,F,F,F,T,T,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F
278,10,4,3,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
